Species,Population,Temperature,mpa,Dish,Hour,Germinated,Germinable
AETR,029AT,20,-0.8,B,46.88333333,1,25
AETR,029AT,20,-0.8,B,51.73333333,0,25
AETR,029AT,20,-0.8,B,57.38333333,5,25
AETR,029AT,20,-0.8,B,62.48333333,1,25
AETR,029AT,20,-0.8,B,75.93333333,0,25
AETR,029AT,20,-0.8,B,88.66666667,0,25
AETR,029AT,20,-0.8,B,100.6,1,25
AETR,029AT,20,-0.8,B,111.3333333,1,25
AETR,029AT,20,-0.8,C,6.966666667,0,25
AETR,029AT,20,-0.8,C,13.71666667,11,25
AETR,029AT,20,-0.8,C,18.28333333,1,25
AETR,029AT,20,-0.8,C,21.36666667,1,25
AETR,029AT,20,-0.8,C,28.38333333,2,25
AETR,029AT,20,-0.8,C,33.48333333,1,25
AETR,029AT,20,-0.8,C,37.25,0,25
AETR,029AT,20,-0.8,C,40.55,0,25
AETR,029AT,20,-0.8,C,46.88333333,3,25
AETR,029AT,20,-0.8,C,51.73333333,0,25
AETR,029AT,20,-0.8,C,57.38333333,3,25
AETR,029AT,20,-0.8,C,62.48333333,1,25
AETR,029AT,20,-0.8,C,75.93333333,0,25
AETR,029AT,20,-0.8,C,88.66666667,1,25
AETR,029AT,20,-0.8,D,6.966666667,2,25
AETR,029AT,20,-0.8,D,13.71666667,5,25
AETR,029AT,20,-0.8,D,18.28333333,4,25
AETR,029AT,20,-0.8,D,21.36666667,1,25
AETR,029AT,20,-0.8,D,28.38333333,2,25
AETR,029AT,20,-0.8,D,33.48333333,1,25
AETR,029AT,20,-0.8,D,37.25,3,25
AETR,029AT,20,-0.8,D,40.55,1,25
AETR,029AT,20,-0.8,D,46.88333333,0,25
AETR,029AT,20,-0.8,D,51.73333333,1,25
AETR,029AT,20,-0.8,D,57.38333333,1,25
AETR,029AT,20,-0.8,D,62.48333333,1,25
AETR,029AT,20,-0.8,D,75.93333333,3,25
AETR,029AT,20,0,A,6.966666667,11,24
