Species,Population,mpa,Dish,Hour,Germinated,Germinable
DMSO,177,1,2,811,26,48
DMSO,177,1,2,835,26,48
DMSO,177,1,2,861,26,48
DMSO,177,1,2,887,26,48
DMSO,177,1,2,908,26,48
DMSO,177,1,2,933,26,48
DMSO,177,1,2,954,26,48
DMSO,177,1,2,979,26,48
DMSO,177,1,2,1009,26,48
DMSO,177,1,2,1031,26,48
DMSO,177,1,2,1053,26,48
DMSO,177,1,2,1080,26,48
DMSO,177,1,2,1099,26,48
DMSO,177,1,2,1122,26,48
DMSO,177,1,2,1149,26,48
DMSO,177,1,2,1172,26,48
DMSO,177,1,2,1196,26,48
DMSO,177,1,2,1221,26,48
DMSO,177,1,2,1248,26,48
DMSO,177,1,2,1268,26,48
DMSO,177,1,2,1293,26,48
DMSO,177,1,2,1321,26,48
DMSO,177,1,2,1346,26,48
DMSO,177,1,2,1370,26,48
DMSO,177,1,2,1396,26,48
DMSO,177,1,2,1420,26,48
DMSO,177,1,2,1438,26,48
DMSO,177,1,2,1461,26,48
DMSO,177,1,2,1487,26,48
DMSO,177,1,2,1516,26,48
DMSO,177,1,2,1534,26,48
DMSO,177,1,2,1560,26,48
DMSO,177,1,2,1588,26,48
DMSO,177,1,2,1607,26,48
DMSO,177,1,2,1630,26,48
DMSO,177,1,2,1654,26,48
DMSO,177,1,2,1679,26,48
DMSO,177,1,2,1704,26,48
DMSO,177,1,2,1727,26,48
DMSO,177,1,2,1755,26,48
DMSO,177,1,2,1779,26,48
DMSO,177,1,2,1798,26,48
DMSO,177,1,2,1821,26,48
DMSO,177,1,2,1845,26,48
DMSO,177,1,2,1876,26,48
DMSO,177,1,2,1891,26,48
DMSO,177,1,2,1915,26,48
DMSO,177,1,2,1940,26,48
DMSO,177,1,2,1962,26,48
DMSO,177,1,2,1989,26,48
DMSO,177,1,2,2011,26,48
DMSO,177,1,2,2042,26,48
DMSO,177,1,2,2059,26,48
DMSO,177,1,2,2082,26,48
DMSO,177,1,2,2108,26,48
DMSO,177,1,2,2132,26,48
DMSO,177,1,2,2161,26,48
DMSO,177,1,2,2184,26,48
DMSO,177,1,2,2208,26,48
DMSO,177,1,2,2228,26,48
DMSO,177,1,2,2251,26,48
DMSO,177,1,2,2274,26,48
DMSO,177,1,2,2298,26,48
DMSO,177,1,2,2322,26,48
DMSO,177,1,2,2347,26,48
DMSO,177,1,2,2372,26,48
DMSO,177,1,2,2398,26,48
DMSO,177,1,2,2423,26,48
DMSO,177,1,2,2446,26,48
DMSO,177,1,2,2470,26,48
DMSO,177,1,2,2493,26,48
DMSO,177,1,2,2517,26,48
DMSO,177,1,2,2538,26,48
DMSO,177,1,2,2569,26,48
DMSO,177,1,2,2592,26,48
DMSO,177,1,2,2615,26,48
DMSO,177,1,2,2636,26,48
DMSO,177,1,2,2660,26,48
DMSO,177,1,2,2683,26,48
DMSO,177,1,2,2707,26,48
DMSO,177,1,2,2731,26,48
DMSO,177,1,2,2754,26,48
DMSO,177,1,2,2783,26,48
DMSO,177,1,2,2807,26,48
DMSO,177,1,2,2830,26,48
ValpAcid,177,1,2,0,0,36
ValpAcid,177,1,2,21,0,36
ValpAcid,177,1,2,28,0,36
ValpAcid,177,1,2,42,0,36
ValpAcid,177,1,2,66,1,36
ValpAcid,177,1,2,93,1,36
ValpAcid,177,1,2,116,1,36
ValpAcid,177,1,2,144,3,36
ValpAcid,177,1,2,165,3,36
ValpAcid,177,1,2,189,3,36
ValpAcid,177,1,2,213,6,36
ValpAcid,177,1,2,235,10,36
ValpAcid,177,1,2,261,11,36
ValpAcid,177,1,2,285,11,36
ValpAcid,177,1,2,309,13,36
ValpAcid,177,1,2,336,16,36
ValpAcid,177,1,2,361,16,36
ValpAcid,177,1,2,383,16,36
ValpAcid,177,1,2,408,16,36
ValpAcid,177,1,2,433,16,36
ValpAcid,177,1,2,456,16,36
ValpAcid,177,1,2,481,17,36
ValpAcid,177,1,2,504,17,36
ValpAcid,177,1,2,527,17,36
ValpAcid,177,1,2,549,17,36
ValpAcid,177,1,2,575,17,36
ValpAcid,177,1,2,598,17,36
ValpAcid,177,1,2,620,17,36
ValpAcid,177,1,2,647,17,36
ValpAcid,177,1,2,668,17,36
ValpAcid,177,1,2,693,17,36
ValpAcid,177,1,2,719,17,36
ValpAcid,177,1,2,740,17,36
ValpAcid,177,1,2,765,17,36
ValpAcid,177,1,2,790,17,36
ValpAcid,177,1,2,811,17,36
ValpAcid,177,1,2,835,17,36
ValpAcid,177,1,2,861,17,36
ValpAcid,177,1,2,887,17,36
ValpAcid,177,1,2,908,17,36
ValpAcid,177,1,2,933,17,36
ValpAcid,177,1,2,954,17,36
ValpAcid,177,1,2,979,17,36
ValpAcid,177,1,2,1009,17,36
ValpAcid,177,1,2,1031,17,36
ValpAcid,177,1,2,1053,17,36
ValpAcid,177,1,2,1080,17,36
ValpAcid,177,1,2,1099,17,36
ValpAcid,177,1,2,1122,17,36
