Grouping	Treatment	Dish	Start	End	G	PG	
606	B	21.25	1	33	34	0	25
607	B	21.25	1	34	35	0	25
608	B	21.25	1	35	36	0	25
609	B	21.25	1	36	37	0	25
610	B	21.25	1	37	38	0	25
611	B	21.25	1	38	39	0	25
612	B	21.25	1	39	40	0	25
613	B	21.25	1	40	41	0	25
614	B	21.25	1	41	42	0	25
615	B	21.25	1	42	43	0	25
616	B	21.25	1	43	Inf	1	25
617	B	23.75	1	0	1	0	25
618	B	23.75	1	1	2	0	25
619	B	23.75	1	2	3	0	25
620	B	23.75	1	3	4	0	25
621	B	23.75	1	4	5	0	25
622	B	23.75	1	5	6	0	25
623	B	23.75	1	6	7	3	25
624	B	23.75	1	7	8	4	25
625	B	23.75	1	8	9	13	25
626	B	23.75	1	9	10	1	25
627	B	23.75	1	10	11	4	25
628	B	23.75	1	11	12	0	25
629	B	23.75	1	12	13	0	25
630	B	23.75	1	13	14	0	25
631	B	23.75	1	14	15	0	25
632	B	23.75	1	15	16	0	25
633	B	23.75	1	16	17	0	25
634	B	23.75	1	17	18	0	25
635	B	23.75	1	18	19	0	25
636	B	23.75	1	19	20	0	25
637	B	23.75	1	20	21	0	25
638	B	23.75	1	21	22	0	25
639	B	23.75	1	22	23	0	25
640	B	23.75	1	23	24	0	25
641	B	23.75	1	24	25	0	25
642	B	23.75	1	25	26	0	25
643	B	23.75	1	26	27	0	25
644	B	23.75	1	27	28	0	25
645	B	23.75	1	28	29	0	25
646	B	23.75	1	29	30	0	25
647	B	23.75	1	30	31	0	25
648	B	23.75	1	31	32	0	25
649	B	23.75	1	32	33	0	25
650	B	23.75	1	33	34	0	25
651	B	23.75	1	34	35	0	25
652	B	23.75	1	35	36	0	25
653	B	23.75	1	36	37	0	25
654	B	23.75	1	37	38	0	25
655	B	23.75	1	38	39	0	25
656	B	23.75	1	39	40	0	25
657	B	23.75	1	40	41	0	25
658	B	23.75	1	41	42	0	25
659	B	23.75	1	42	43	0	25
660	B	23.75	1	43	Inf	0	25
661	B	26.25	1	0	1	0	25
662	B	26.25	1	1	2	0	25
663	B	26.25	1	2	3	0	25
664	B	26.25	1	3	4	0	25
665	B	26.25	1	4	5	0	25
666	B	26.25	1	5	6	0	25
667	B	26.25	1	6	7	0	25
668	B	26.25	1	7	8	0	25
669	B	26.25	1	8	9	0	25
670	B	26.25	1	9	10	0	25
671	B	26.25	1	10	11	0	25
672	B	26.25	1	11	12	0	25
673	B	26.25	1	12	13	0	25
674	B	26.25	1	13	14	0	25
675	B	26.25	1	14	15	0	25
676	B	26.25	1	15	16	0	25
677	B	26.25	1	16	17	0	25
678	B	26.25	1	17	18	0	25
679	B	26.25	1	18	19	0	25
680	B	26.25	1	19	20	0	25
681	B	26.25	1	20	21	0	25
682	B	26.25	1	21	22	0	25
683	B	26.25	1	22	23	0	25
684	B	26.25	1	23	24	0	25
685	B	26.25	1	24	25	0	25
686	B	26.25	1	25	26	0	25
687	B	26.25	1	26	27	0	25
688	B	26.25	1	27	28	0	25
689	B	26.25	1	28	29	0	25
690	B	26.25	1	29	30	0	25
691	B	26.25	1	30	31	0	25
692	B	26.25	1	31	32	0	25
693	B	26.25	1	32	33	0	25
694	B	26.25	1	33	34	0	25
695	B	26.25	1	34	35	0	25
696	B	26.25	1	35	36	0	25
697	B	26.25	1	36	37	0	25
698	B	26.25	1	37	38	0	25
699	B	26.25	1	38	39	0	25
700	B	26.25	1	39	40	0	25
701	B	26.25	1	40	41	0	25
702	B	26.25	1	41	42	0	25
703	B	26.25	1	42	43	0	25
704	B	26.25	1	43	Inf	25	25
705	B	28.75	1	0	1	0	25
706	B	28.75	1	1	2	0	25
707	B	28.75	1	2	3	0	25
708	B	28.75	1	3	4	0	25
709	B	28.75	1	4	5	0	25
710	B	28.75	1	5	6	0	25
711	B	28.75	1	6	7	0	25
712	B	28.75	1	7	8	0	25
713	B	28.75	1	8	9	0	25
714	B	28.75	1	9	10	0	25
715	B	28.75	1	10	11	0	25
716	B	28.75	1	11	12	0	25
717	B	28.75	1	12	13	0	25
718	B	28.75	1	13	14	0	25
719	B	28.75	1	14	15	0	25
720	B	28.75	1	15	16	0	25
721	B	28.75	1	16	17	0	25
722	B	28.75	1	17	18	0	25
723	B	28.75	1	18	19	0	25
724	B	28.75	1	19	20	0	25
725	B	28.75	1	20	21	0	25
726	B	28.75	1	21	22	0	25
727	B	28.75	1	22	23	0	25
728	B	28.75	1	23	24	0	25
729	B	28.75	1	24	25	0	25
