species,population,temperature,dish,times,germinated,germinable
Centaurium somedanum,La Malva,4.4,A12,24,0,23
Centaurium somedanum,La Malva,4.4,A12,25,0,23
Centaurium somedanum,La Malva,4.4,A12,26,0,23
Centaurium somedanum,La Malva,4.4,A12,27,0,23
Centaurium somedanum,La Malva,4.4,A12,28,0,23
Centaurium somedanum,La Malva,3,A13,1,0,23
Centaurium somedanum,La Malva,3,A13,2,0,23
Centaurium somedanum,La Malva,3,A13,3,0,23
Centaurium somedanum,La Malva,3,A13,4,0,23
Centaurium somedanum,La Malva,3,A13,5,0,23
Centaurium somedanum,La Malva,3,A13,6,0,23
Centaurium somedanum,La Malva,3,A13,7,0,23
Centaurium somedanum,La Malva,3,A13,8,0,23
Centaurium somedanum,La Malva,3,A13,9,0,23
Centaurium somedanum,La Malva,3,A13,10,0,23
Centaurium somedanum,La Malva,3,A13,11,0,23
Centaurium somedanum,La Malva,3,A13,12,0,23
Centaurium somedanum,La Malva,3,A13,13,0,23
Centaurium somedanum,La Malva,3,A13,14,0,23
Centaurium somedanum,La Malva,3,A13,15,0,23
Centaurium somedanum,La Malva,3,A13,16,0,23
Centaurium somedanum,La Malva,3,A13,17,0,23
Centaurium somedanum,La Malva,3,A13,18,0,23
Centaurium somedanum,La Malva,3,A13,19,0,23
Centaurium somedanum,La Malva,3,A13,20,0,23
Centaurium somedanum,La Malva,3,A13,21,0,23
Centaurium somedanum,La Malva,3,A13,22,0,23
Centaurium somedanum,La Malva,3,A13,23,0,23
Centaurium somedanum,La Malva,3,A13,24,0,23
Centaurium somedanum,La Malva,3,A13,25,0,23
Centaurium somedanum,La Malva,3,A13,26,0,23
Centaurium somedanum,La Malva,3,A13,27,0,23
Centaurium somedanum,La Malva,3,A13,28,0,23
Centaurium somedanum,La Malva,18.6,A2,1,0,24
Centaurium somedanum,La Malva,18.6,A2,2,0,24
Centaurium somedanum,La Malva,18.6,A2,3,0,24
Centaurium somedanum,La Malva,18.6,A2,4,0,24
Centaurium somedanum,La Malva,18.6,A2,5,0,24
Centaurium somedanum,La Malva,18.6,A2,6,0,24
Centaurium somedanum,La Malva,18.6,A2,7,14,24
Centaurium somedanum,La Malva,18.6,A2,8,9,24
Centaurium somedanum,La Malva,18.6,A2,9,0,24
Centaurium somedanum,La Malva,18.6,A2,10,1,24
Centaurium somedanum,La Malva,18.6,A2,11,0,24
Centaurium somedanum,La Malva,18.6,A2,12,0,24
Centaurium somedanum,La Malva,18.6,A2,13,0,24
